"CARRERA,C,3","PLAN,C,2","ACTA,C,5","ORDEN,C,2","LIBRO,C,5","MATERIA,C,3","TURNO,C,1","CATEDRA,C,1","FECH_ACTA,D","PROCES,L","FECPRO,D","INSCR,N,2,0","AUSENT,N,2,0","EXAMIN,N,2,0","SOBRES,N,2,0","DISTIN,N,2,0","BUENO,N,2,0","SUFIC,N,2,0","INSUF,N,2,0","REPROB,N,2,0","NOCORR,N,2,0","RECLIB,C,5","RECACT,C,5","OBSERV,M"
421,86,08770,,    1,035,1,,07/28/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
401,86,08790,,    1,025,4,,07/27/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,08830,,    1,049,2,,04/18/1993,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,09250,,    1,025,1,A,07/31/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,09260,,    1,012,1,A,07/31/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,09270,,    1,020,1,A,07/31/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,09280,,    1,018,1,A,07/31/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,09290,,    1,019,1,A,07/31/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,08531,,    1,021,1,A,07/31/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,09300,,    1,031,1,A,07/31/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
441,93,09310,,    1,020,2,,08/07/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
401,78,09430,,    1,006,1,,08/02/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
802,86,09650,,    1,009,2,,08/02/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
805,86,09670,,    1,040,2,,08/02/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
806,86,09680,,    1,005,1,,08/02/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
806,86,09690,,    1,045,2,,08/02/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
806,86,09700,,    1,051,2,,08/02/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
812,86,09720,,    1,040,2,,08/02/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,09770,,    1,039,1,,08/02/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
831,89,09780,,    1,013,2,,08/02/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
831,89,09790,,    1,023,2,,08/02/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,09920,,    1,016,1,A,08/01/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,09930,,    1,022,1,A,08/01/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,09940,,    1,027,1,A,08/07/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,09950,,    1,039,1,A,08/02/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,09960,,    1,030,1,A,08/02/1995,TRUE,10/28/2005,2,1,1,0,0,1,0,0,0,0,,,
812,86,10250,,    1,085,2,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
812,86,10260,,    1,086,2,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
824,85,10280,,    1,052,1,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
824,85,10300,,    1,088,2,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
831,89,10370,,    1,028,2,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
806,86,10750,,    1,023,2,,08/04/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
812,86,10780,,    1,010,2,,08/04/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,10840,,    1,082,1,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
832,89,10870,,    1,032,2,,08/01/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,10880,,    1,015,1,A,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,10950,,    1,082,1,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
831,89,10970,,    1,029,2,,08/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,10990,,    1,072,3,,11/30/1991,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,08981,,    1,032,1,,08/01/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,11070,,    1,063,1,,11/29/1991,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,11220,,    1,021,2,,03/06/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,11340,,    1,023,4,,08/20/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,11350,,    1,023,4,,08/20/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,11360,,    1,023,4,,08/20/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,11370,,    1,023,4,,08/20/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,11380,,    1,023,4,,08/20/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,11460,,    1,116,1,,12/06/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,11480,,    1,102,1,,11/27/1991,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,11500,,    1,013,3,,08/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,11510,,    1,013,3,,08/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,11520,,    1,013,3,,08/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,11720,,    1,060,1,,11/27/1991,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,11810,,    1,032,1,,11/29/1991,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,06624,,    1,102,1,,07/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
401,86,11910,,    1,203,1,,12/06/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
451,86,12320,,    1,102,3,,06/12/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,12340,,    1,032,2,,12/06/1991,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
812,86,12360,,    1,039,1,,09/18/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,12500,,    1,024,1,,09/18/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,12510,,    1,031,1,,09/18/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
421,86,12580,,    1,072,1,,09/15/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
401,86,13040,,    1,030,1,,09/19/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,78,13190,,    1,015,1,,09/19/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,78,13200,,    1,015,1,,09/19/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,78,13210,,    1,015,1,,09/19/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
802,86,13420,,    1,018,1,,09/19/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
820,85,13440,,    1,017,1,,09/19/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
824,85,13470,,    1,033,1,,09/19/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,12891,,    1,037,1,,09/18/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,12861,,    1,011,1,B,09/18/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
806,86,13580,,    1,039,1,,09/18/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,13590,,    1,024,1,,09/18/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,13600,,    1,011,1,A,09/18/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,13610,,    1,025,1,A,09/18/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,13620,,    1,020,1,A,09/18/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,13640,,    1,011,1,A,09/19/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,13650,,    1,012,1,,09/19/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
824,85,13660,,    1,026,1,,09/19/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
824,85,13670,,    1,034,1,,09/19/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
824,85,13680,,    1,034,1,,09/19/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
401,78,13690,,    1,006,1,,09/20/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
802,86,14060,,    1,009,1,,09/20/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
820,85,14100,,    1,020,1,,09/20/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
831,89,14150,,    1,013,1,,09/20/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
831,89,14160,,    1,023,1,,09/20/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,14210,,    1,023,1,,09/20/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
